Code,Long,Lat,MDS1,MDS2,jCartx,jCarty
GSA6_1,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1536.39608366056,-173.542671948547
GSA6_2,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1540.85496378815,-173.005154675866
GSA6_3,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1536.82481390382,-175.377076734106
GSA6_4,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1538.24329992733,-176.444397759313
GSA6_5,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1532.72646966441,-176.125254163022
GSA6_6,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1528.11953442241,-174.366547635818
GSA6_7,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1539.12406664393,-173.455515682201
GSA6_8,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1536.62235389775,-174.568508984769
GSA6_9,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1527.69723874456,-176.927657519902
GSA6_10,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1539.46130735497,-173.722153623278
GSA6_11,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1531.12250716551,-176.883776582653
GSA6_12,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1527.34497653185,-173.299126261348
GSA6_13,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1529.72902499172,-174.529216109092
GSA6_14,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1527.56821790891,-174.766493400062
GSA6_15,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1535.3786693295,-175.448823664958
GSA6_16,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1529.83861513375,-176.904934296633
GSA6_17,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1531.9435465218,-172.715985956664
GSA6_18,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1526.16407205923,-176.683561286951
GSA6_19,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1531.43340076948,-175.806070967267
GSA6_20,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1532.92726456704,-174.765972765411
GSA6_21,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1535.61667638844,-175.770737232144
GSA6_22,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1524.34866951047,-175.213600465531
GSA6_23,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1538.31332301641,-177.180247257153
GSA6_24,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1536.09179022326,-173.721852434675
GSA6_25,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1538.84630777235,-175.542466301719
GSA6_26,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1537.57659509419,-174.677673316995
GSA6_27,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1530.31735513708,-173.895482876028
GSA6_28,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1527.83773592966,-172.881526549409
GSA6_29,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1532.24301464981,-176.408111186201
GSA6_30,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1524.05416989582,-174.478898719574
GSA6_31,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1535.87515354543,-174.231062539543
GSA6_32,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1529.80675639431,-174.538501924525
GSA6_33,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1532.75971904746,-176.387372838954
GSA6_34,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1525.50536454389,-176.293927556897
GSA6_35,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1538.9594987554,-174.372017566363
GSA6_36,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1531.05982822137,-174.745839508871
GSA6_37,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1531.81817128728,-174.627443407724
GSA6_38,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1539.53792540985,-173.148146884019
GSA6_39,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1523.1899595696,-174.080663655947
GSA6_40,0.81984008,40.31656886,-1532.06243164348,-174.852952045078,-1526.96692440002,-173.173934483031
GSA7_1,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-984.1044642547,-490.248886439147
GSA7_2,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-983.291565184653,-490.55097296195
GSA7_3,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-985.629224222325,-490.114291521105
GSA7_4,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-990.336197838731,-491.048906486797
GSA7_5,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-991.458107105255,-489.125027806255
GSA7_6,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-994.244998165019,-488.654027141201
GSA7_7,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-990.493164682933,-490.064522728267
GSA7_8,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-991.878253869511,-488.51031424472
GSA7_9,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-986.719417375125,-488.903504816386
GSA7_10,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-988.025541685693,-490.746926728207
GSA7_11,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-987.822120314077,-490.365850577074
GSA7_12,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-987.6357370952,-491.039727260115
GSA7_13,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.675405097924,-489.806306437346
GSA7_14,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-996.16243978104,-489.904699451792
GSA7_15,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-982.939289789819,-488.644039587247
GSA7_16,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-984.736100202971,-487.970783843416
GSA7_17,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-989.459973630481,-488.487434777188
GSA7_18,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-980.781524393693,-490.897292741331
GSA7_19,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-991.255918692969,-490.149471442717
GSA7_20,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-990.828263069302,-489.716015981826
GSA7_21,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-997.433945913785,-488.686939825061
GSA7_22,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-991.471641451478,-487.780993201154
